network_name,n_nodes,n_edges,graph_type,triad_003,triad_012,triad_102,triad_021D,triad_021U,triad_021C,triad_111D,triad_111U,triad_030T,triad_030C,triad_201,triad_120D,triad_120U,triad_120C,triad_210,triad_300
balikatan_2022_unweighted,1347,3146,directed,402535796,3602267,38837,225413,3865,14258,127,3334,3400,2,15,65,669,3,9,5
balikatan_2022_weighted,1347,3146,directed,402535796,3602267,38837,225413,3865,14258,127,3334,3400,2,15,65,669,3,9,5
marvel_universe_unweighted,6486,77227,undirected,44967723651,0,474217163,0,0,0,0,0,0,0,11718673,0,0,0,0,1028453
marvel_universe_weighted,6486,77227,undirected,44967723651,0,474217163,0,0,0,0,0,0,0,11718673,0,0,0,0,1028453
moreno_highschool_unweighted,70,366,directed,37827,9822,5175,170,311,323,430,214,82,5,67,89,41,36,92,56
moreno_highschool_weighted,70,366,directed,37827,9822,5175,170,311,323,430,214,82,5,67,89,41,36,92,56
scotland_interlock_unweighted,108,276,undirected,176906,0,25513,0,0,0,0,0,0,0,1468,0,0,0,0,269
scotland_interlock_weighted,108,276,undirected,176906,0,25513,0,0,0,0,0,0,0,1468,0,0,0,0,269
synthetic_1_sbm_directed_unweighted,600,8253,directed,31233805,4204617,158702,47815,49106,101315,7329,6997,6648,2369,227,277,247,684,61,1
synthetic_1_sbm_directed_weighted,600,8277,directed,31231601,4195307,169220,48325,49433,100997,7622,7354,6350,2314,273,359,320,641,83,1
synthetic_1_sbm_undirected_unweighted,600,4228,undirected,33349744,0,2413690,0,0,0,0,0,0,0,55644,0,0,0,0,1122
synthetic_1_sbm_undirected_weighted,600,4138,undirected,33401156,0,2364588,0,0,0,0,0,0,0,53432,0,0,0,0,1024
synthetic_2_pa_directed_unweighted,250,497,directed,2453719,115292,0,196,2886,849,0,0,58,0,0,0,0,0,0,0
synthetic_2_pa_directed_weighted,250,497,directed,2453367,116024,0,206,2486,874,0,0,43,0,0,0,0,0,0,0
synthetic_2_pa_undirected_unweighted,250,497,undirected,2453752,0,115292,0,0,0,0,0,0,0,3904,0,0,0,0,52
synthetic_2_pa_undirected_weighted,250,497,undirected,2453381,0,116024,0,0,0,0,0,0,0,3553,0,0,0,0,42
toledo_crime_unweighted,77,106,undirected,65795,0,6789,0,0,0,0,0,0,0,537,0,0,0,0,29
toledo_crime_weighted,77,106,undirected,65795,0,6789,0,0,0,0,0,0,0,537,0,0,0,0,29
