network_name,n_nodes,n_edges,graph_type,T_max,L,tau_min,tau_max,method,wall_clock_s,aumc_003,aumc_012,aumc_102,aumc_021D,aumc_021U,aumc_021C,aumc_111D,aumc_111U,aumc_030T,aumc_030C,aumc_201,aumc_120D,aumc_120U,aumc_120C,aumc_210,aumc_300,peaktau_003,peaktau_012,peaktau_102,peaktau_021D,peaktau_021U,peaktau_021C,peaktau_111D,peaktau_111U,peaktau_030T,peaktau_030C,peaktau_201,peaktau_120D,peaktau_120U,peaktau_120C,peaktau_210,peaktau_300
balikatan_2022_unweighted,1347,3146,directed,3015,10,1.0,1.0,empirical,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balikatan_2022_weighted,1347,3146,directed,3015,8,1.2572571465173128,4.965566363019175,analytic,0.24,0.595959686641997,0.0005631397160167786,1.0462400208003321e-5,9.031215403062563e-6,3.71032380388642e-7,1.4367413791596359e-6,4.371870659001519e-8,1.9322200538464743e-7,2.83804649254607e-7,0.0,2.9355486439338733e-9,2.621025574940958e-9,2.1073045622525303e-8,1.4677743219669366e-9,9.43569206978745e-10,0.0,4.080826420042485,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128,1.2572571465173128
marvel_universe_unweighted,6486,77227,undirected,1028453,8,1.0,1.0,analytic,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
marvel_universe_weighted,6486,77227,undirected,1028453,14,4.403206510045888,227.75312653665466,analytic,1.59,1.7125363608094195,0.0,0.0011484326684805485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.192675397598469e-6,0.0,0.0,0.0,0.0,1.307101300682571e-6,227.75312653665466,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888,4.403206510045888
moreno_highschool_unweighted,70,366,directed,307,10,1.0,1.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moreno_highschool_weighted,70,366,directed,307,10,1.0,2.0,empirical,0.07,0.25945979776886563,0.027146531344865672,0.012358079938099335,9.348757629316181e-5,0.00037028412571017043,0.0003843378136496654,0.0005053217359114043,0.00016925528518435182,6.660226023499764e-5,1.5275747760320553e-6,7.240704438391947e-5,0.0001518409327375864,5.926990131004379e-5,2.6579801102957778e-5,0.0001164011979336427,4.8271362922612975e-5,1.080059738892306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scotland_interlock_unweighted,108,276,undirected,269,10,1.0,1.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scotland_interlock_weighted,108,276,undirected,269,16,1.0,8.0,empirical,0.01,0.8892820886622557,0.0,0.013459766597207623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002810415426122908,0.0,0.0,0.0,0.0,6.70901898680967e-5,5.278031643091577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_1_sbm_directed_unweighted,600,8253,directed,7165,10,1.0,1.0,empirical,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_1_sbm_directed_weighted,600,8277,directed,7001,8,2.154434690031884,4.641588833612778,analytic,0.06,0.3146645022853558,0.017884255784379174,0.00032162618538462333,0.00010548517317044571,0.00010602756465426132,0.00022291425880741406,8.519401529490808e-6,8.456920157580678e-6,7.720437603576169e-6,2.7870680044593082e-6,1.754795977050459e-7,1.8412063850112772e-7,1.2629213471196485e-7,5.197918386566132e-7,3.257007684676988e-8,0.0,4.159562163071847,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884,2.154434690031884
