network_name,n_nodes,n_edges,directed,w_min,w_max,w_median,w_iqr,w_gini,mean_total_strength,sd_total_strength,mean_weighted_closeness,sd_weighted_closeness,mean_weighted_betweenness,sd_weighted_betweenness,mean_bonacich,sd_bonacich,centralization_total_strength,centralization_weighted_closeness,centralization_weighted_betweenness,centralization_bonacich,mean_inverse_distance_weighted
marvel_universe_unweighted,6486,77227,false,1.0,1.0,1.0,0.0,0.0,11.906722170829479,31.710693630118147,0.18509916263508122,0.12458538371229981,0.0001338310731490783,0.0011654852211276398,0.027153405930382662,0.0657065550313518,31.710693630118147,0.12458538371229981,0.0011654852211276398,0.0657065550313518,0.050233725996384315
marvel_universe_weighted,6486,77227,false,2.0,744.0,3.0,3.0,0.542234221332559,73.80974406413814,333.2797986184911,1.2792652168409315,1.176756141095646,0.00025365620273326014,0.004405772793721933,0.027153405930382662,0.0657065550313518,333.2797986184911,1.176756141095646,0.004405772793721933,0.0657065550313518,0.276841707514375
scotland_interlock_unweighted,108,276,false,1.0,1.0,1.0,0.0,0.0,2.5555555555555554,2.308389143133599,0.25735631047157526,0.1389545089484619,0.011345898887778628,0.020364931295172552,0.19087803374485063,0.18565633979025972,2.308389143133599,0.1389545089484619,0.020364931295172552,0.18565633979025972,0.05497824259506502
scotland_interlock_weighted,108,276,false,1.0,8.0,1.0,0.0,0.2350798461359133,3.4537037037037037,3.630437936712678,0.3044456889713199,0.17059726224054467,0.01217641911657762,0.024824933547488673,0.19087803374485063,0.18565633979025972,3.630437936712678,0.17059726224054467,0.024824933547488673,0.18565633979025972,0.06576450928760354
synthetic_1_sbm_undirected_unweighted,600,4228,false,1.0,1.0,1.0,0.0,0.0,7.046666666666667,1.7458241775697803,0.3831918938972395,0.015286270438402388,0.0029778449031552033,0.0014983282210864475,0.5127994394567551,0.13008448674605633,1.7458241775697803,0.015286270438402388,0.0014983282210864475,0.13008448674605633,0.13365801297416474
synthetic_1_sbm_undirected_weighted,600,4138,false,1.0,9.0,3.0,2.0,0.25799205068400866,20.65,5.8826873125039105,1.301230278789316,0.09239083795581127,0.0038674595286883875,0.0030060739054532312,0.5621149715576629,0.1425888442154657,5.8826873125039105,0.09239083795581127,0.0030060739054532312,0.1425888442154657,0.3982134882280786
synthetic_2_pa_undirected_unweighted,250,497,false,1.0,1.0,1.0,0.0,0.0,1.988,2.2765294519029453,0.3187180722891569,0.0460776036073264,0.009796476227490608,0.030893451445098467,0.100457102007648,0.10750031815793225,2.2765294519029453,0.0460776036073264,0.030893451445098467,0.10750031815793225,0.019733907056798596
synthetic_2_pa_undirected_weighted,250,497,false,1.0,6.0,2.0,2.0,0.26440152662656224,3.916,4.238727550218333,0.5979601858049713,0.11960943872891532,0.012328628492464482,0.03471698096607894,0.10982623334724399,0.11106741266472017,4.238727550218333,0.11960943872891532,0.03471698096607894,0.11106741266472017,0.03653595768906817
toledo_crime_unweighted,77,106,false,1.0,1.0,1.0,0.0,0.0,1.3766233766233766,1.6978233824127282,0.34442355889724285,0.06934824383634493,0.030827067669172932,0.09539258923120696,0.13698191640264784,0.1449966247468379,1.6978233824127282,0.06934824383634493,0.09539258923120696,0.1449966247468379,0.04519537480063796
toledo_crime_weighted,77,106,false,1.0,5.0,2.0,2.0,0.2582705812674507,2.896103896103896,4.136119512374193,0.665751804930249,0.24372007632713438,0.030836181362497144,0.09903292199322107,0.13698191640264784,0.1449966247468379,4.136119512374193,0.24372007632713438,0.09903292199322107,0.1449966247468379,0.08790241612016543
